1	As someone who has studied viruses and worked in research labs on other coronaviruses like MERS-cov and SARS-cov, it makes me laugh to hear Erika say "that's not a risk she's willing to take" because the risks of the disease are far more dangerous than the worst risks of the vaccine.
1	Just get the vaccine guys..
1	This doen't really make sense. What difference does it make if the testing took place during one peak vs another? Even if there are more people infected around, that shouldn't change anything. The vaccine should protect you regardless.
1	I’m laughing at how people care more about the side effects then the positive affects, Like not dying!
0	won't be getting it, thanks.
1	want vaccine
1	Who else is looking through the comments trying to find an angry antivaxxer
0	Let's us take ur life away lets us give u a short now u stay in u dont go owt in less u got to I had the shot o u still need to bee caful ceep wearing ur mask how long r pepul going to bee sheep 4 I will take a shot yer I will but im not blend evur controlling u taking ur freedom away and u r oll like if sum 1 tinks difrunt tay r fools or tay r dum ur oll beeing programd ceep ur I on the TV pernod to go owt I dot bovr wive the news no mor cuz it melts ur bran maks u tink tay r oll good the guvumunt can do what tay wont to u and u let um if tay clap u clap if tay say jump u jump I didunt clap cuz im no a seep how duz claping help sum 1 how cont breth it dont but ur master sed clap so calp give money to the NHS is how u help in it tink abot it pepul u dont have to c it my way but my opun
1	Two things that never gets old 1) Making fun of  anti-vaxxers 2) Their kids
0	Not going to take it
1	I’m getting it, I trust it. However, doctors and scientists are not helping themselves by saying “you still have to wear a mask for the long haul, even after both shots.” You want people to stop saying this is social engineering? Then stop the propaganda
0	We are worried about a 2% death rate. Well, just with ordinary vaccines themselves, there is 2% serious adverse reactions. No one talks about that. There is no drug or vaccine that is 100% safe for everyone
1	ofc i'm taking it!
1	With so many not vaccinating and spreading eradicated viruses, I want more vaccines as fast as possible, especially mmr.
1	I’m curious as to when in medical history there hasn’t been side effects. I need to see causation. This is speculative.
1	The only way to care of others in this pandemic is to take the vaccine as soon as you get the oppurtunity.
0	I never took the flu shot I'm sure not taking this vaccine
1	Only 6 out of over six million people had adverse effects? I see no reason to stop the J&J vaccine.
1	I had side effects, from nausea to fever to aches. The nights were the worst. On the 4th day I slept it off. I never worried knowing my body was doing its job. I missed a day of work. I hope my 2nd shot is smoother, but if it's not, I'm still celebrating.
1	I was vaccinated with the vaccine a couple weeks ago, I had the chills for about 40 minutes that evening. Thats it for side effects and I appreciate that If I get Covid it won't be a serious case. I continue to social distance and mask wearing in indoor public spaces.
1	First dose on board March 24th. #2 coming up. Science is freaking amazing!
0	Uhm, u can keep that crap.
0	There have been severe side effects, including death, with the other two vaccines too but were ignored by the CDC. Something strange is going on.
0	donot want it
1	I hope this helps.
1	Any vaccine Dr. Anthony Fauci recommends is one I will get.
0	As much as I'm glad that a vaccine is being used. I'm scared about the long-term health effects of a rushed vaccine.
0	My immune system is their for a reason,if someone chooses to receive it I respect that ,they better respect my choice also.
0	Sadly I don’t trust either our government agencies or the drug companies to be honest with us at this point, and there is no telling what this experimental gene therapy will actually do in the future years.
1	Already been a little over six hours since my first dose, and aside of the ungodly arm pain I’m experiencing right now, I’m feeling fine. #CovidVaccine
0	If you die and could be suspected of having had covid within the past 12 months it's labelled as "covid death" and  becomes main stream news. f you die within 48 hours after being vaccinated it's played off as "no cause for concern" or "the patient was  too frail".
1	Not everyone wants that crap, for a disease that has a 90 percent cure rate.
1	Now we need a vaccine to stop the spread of stupidity as in antivaxers and antimask types!
1	Scientists were prepared for a pandemic while we were thinking about the zombies apocalypse. XDXD
1	I have a 20 something colleague who got Covid June last year. They were very fit - into martial arts and MMA. They now struggle to get upstairs without wheezing. They weren't hospitalised at the time. They felt a bit "ick" for few days (their own words "like I had a bad cold"), got "better" but some effects have still lingered. I got my second dose of (Pfizer) vaccine on Monday (30 something yo health professional). Yesterday (Tues) it was like I'd been hit by a wrecking ball - high temperature (over 38 degrees), aching everywhere, chills. Really not a fun 24 hours, and even today I still have a bit of a fever, a stiff neck, and a headache, but I'm functional. Would I trade that "feeling absolute rubbish for 48 hours but then being fine and protected" for "I'll take the chance I'll only get something mild, but it could disable me for months, if not permanently"? Not on your nelly.
1	Parents shouldn't decide! Your kid is not your property.
1	It’s bad enough him and his oppos talking out of their ****s to the detriment of their citizens but the ongoing issue of confidence in what has now been proven to be an effective vaccine will no doubt have a fatal knock on effect. Shameful excuses for leaders.
0	Yea and that's why the majority of us "the smart people" yall trying to sell this bogus quick profits to ain't buying them ever. I'm gonna take my 98% chances everyday before I take any one of them. I'll get sick 50 times before I consider taking anything you'll are selling. What doesnt kills you, equips you
1	Facebook are still refusing to take down anti vaccine profiles.
1	I'm getting my second shot soon.💉
1	I hope that the rest of the (United) States will open their eyes and understand the real plan here
1	I get my second shot tomorrow!  Also, the 5G signal has gotten really strong in my city! Thanks everyone
0	My friend died today after receiving the vaccine, 12 hours earlier. Shortness of breath with heart failure followed. She was perfectly fine. A teacher at the high school is in ICU after receiving the vaccine. So I ask you, are cases being ignored at this time to benefit the vaccine being used or are more people having side effects that are not being reported with the relationship to the vaccine?
1	Here’s your daily reminder: take whatever vaccine you are offered. Pfizer, Moderna, AZ, J&J- they’re all good & being regulated. You’d rather have the vaccine than COVID, and vaccines are a major part of how we end this crisis & return to mixing/socialising & an open economy.
1	Not using rhe AZ vaccine is madness. This is an unprecedented health emergency and now some governments are getting as hysterical as the anti-vaxxer nut jobs.
0	I'm with you!! I'm not getting it either.
0	If the vaccine is so safe, then why it's soo free? Doesn't make sense. The government always tax u for something soo safe right 😅
1	Should've mentioned this earlier, but I'm glad to hear that your mom got vaccinated; I imagine that reduces your stress considerably.
0	Work on Saturday was voluntary; however, those who refused would have their rations reduced by half (Animal Farm).
0	They’re already recalling the Johnson and Johnson vaccine but y’all wanna tell me to get it. Lmao tf y’all are SHEEEEEEEEEPPPPP
1	The only reasonable action is to take the vaccine
1	“I’ve driven home drunk countless times and I haven’t gotten in an accident once so I don’t see what the big deal is.”  That’s how that guy sounds.
1	I buy the AstraZeneca vaccine.
0	The immune system was created to handle things like this!
1	If you are afraid of a vaccine I can't imagine how many other things you people are afraid of in life keep hiding in your safe spaces you fucking babies
0	ANYBODY SERIOUSLY BELIEVING VACCINES ARE RESEARCHED DEVELOPED AND LOGISTICALLY ROLLED OUT IN 8 MONTHS NEEDS HELP MENTALLY ASAP WITH A LESSON IN HISTORY AND SCIENCE.😆😆😆😆😆😆😆
0	Yea its rare but I'm thinking twice about the vaccine now. 36 reported cases of thrombocytopenia by early feb21. When and if it occurs to someone it's devastating
1	Given a 5% chance of death with COVID, 1 in a million to have non-lethal blood clots with this vaccine is well worth the risk.
0	Super spread coming. Good luck people who got the shot. You are the super spreaders
1	Please vaccinate!!! Do you part,and save lives and protect love ones!!! JUST DO IT !!! So we can move on!!!!!
0	Covid19 survival rate - 99.7% Covid19 vaccine zombification rate - 99.7%
1	Try to avoid the vaccine at all cost, because it’s not FDA approved and could be bad in the near future
0	Am not taking vaccine neither any of my kids taking that shit that's my law
0	In summary:. People that know the truth are not getting the vaccine.
1	I did a thing today. So should you.
1	I have a fear of needles and have had many over the years . This was the easiest & by far. Done & dusted so quickly.
0	Big shoutout to everyone else who also hasn’t gotten vaccinated
1	This is astonishing stuff.  There is always some good that comes out of a shitty situation and I think the good that we will get from this pandemic is the advancement of pharmaceutical technologies. This could lead to the cures of so many diseases in the future including cancer!
0	@CoachMBullis The thing is, everyone has their own reasons for getting vaccinated or not getting vaccinated. Same reason I don’t get a flu shot. And I respect everyone’s decisions on why or why not. It has absolutely nothing to do with politics, at least not for me.
1	It is WAY more effective than no vaccine!
0	Do not trust these people because they tell lies!
0	Make sure your life insurance covers you if you were apart of a experimental trial! Some will not pay out!
1	These magats on twitter are saying they’ll never sleep with someone who gets the vaccine and I’m just over here being incredibly thankful for the amazing surprise side effect!
1	Healthy people taking the vaccine allows for people with compromized immune systems to live normal lives. Stop beeing so selfish people!
1	Scientists and government safety experts. It was tested like other vaccines.
0	I, too, am a registered nurse who has done extensive reading and will not be getting the vaccine.
0	Not taking any vaccine might save your life.
1	Had covid in October, had the vaccine last week, slept for a day straight and woke up with a gnarly headache 💀 even so it was literally a hundred times better than having covid lol
1	Majority of Antivax people that I’ve seen believe that there are alien microbes that can cause cancer in the vaccines... let that sink in
0	vaccine has medical ethics problem
1	Experiments prove that vaccines can work
0	Before vaccination: risk of infection After vaccination: infected. Great way to speed up the process. Let’s all go get infected shall we! Said no one EVER.
1	One of the worlds most valuable commodities”.... it’s a life saving vaccine. the value is on the LIVES SAVED. profiting off of health care is demonic.
0	Politicians making laws to protect Billionaire Pharmaceutical companies, instead of We the People.
0	It was the vaccine.   We know he died from the vaccine!
1	It can be painful but worth it
0	Well the vaccine doesn’t prevent people from getting covid or spreading it. plus if you care to notice ... the more people get vaccinated with these experimental vaccines. the higher the variant cases get ! Welcome to year #2 of 2 weeks to flatten the curve. all for a virus they are telling you will be like any other annoying childhood illness
